skill_folder	source_repo	source_path
requesting-code-review	superpowers	/tmp/sp/skills/requesting-code-review
verification-before-completion	superpowers	/tmp/sp/skills/verification-before-completion
receiving-code-review	superpowers	/tmp/sp/skills/receiving-code-review
writing-skills	superpowers	/tmp/sp/skills/writing-skills
finishing-a-development-branch	superpowers	/tmp/sp/skills/finishing-a-development-branch
writing-plans	superpowers	/tmp/sp/skills/writing-plans
test-driven-development	superpowers	/tmp/sp/skills/test-driven-development
executing-plans	superpowers	/tmp/sp/skills/executing-plans
systematic-debugging	superpowers	/tmp/sp/skills/systematic-debugging
using-git-worktrees	superpowers	/tmp/sp/skills/using-git-worktrees
dispatching-parallel-agents	superpowers	/tmp/sp/skills/dispatching-parallel-agents
using-superpowers	superpowers	/tmp/sp/skills/using-superpowers
brainstorming	superpowers	/tmp/sp/skills/brainstorming
subagent-driven-development	superpowers	/tmp/sp/skills/subagent-driven-development
banner-design	ui-ux-pro-max	/tmp/uipm/.claude/skills/banner-design
brand	ui-ux-pro-max	/tmp/uipm/.claude/skills/brand
ui-styling	ui-ux-pro-max	/tmp/uipm/.claude/skills/ui-styling
slides	ui-ux-pro-max	/tmp/uipm/.claude/skills/slides
ui-ux-pro-max	ui-ux-pro-max	/tmp/uipm/.claude/skills/ui-ux-pro-max
design-system	ui-ux-pro-max	/tmp/uipm/.claude/skills/design-system
design	ui-ux-pro-max	/tmp/uipm/.claude/skills/design
homelab-pihole-dns	everything-claude-code	/tmp/ecc/skills/homelab-pihole-dns
scientific-pkg-gget	everything-claude-code	/tmp/ecc/skills/scientific-pkg-gget
configure-ecc	everything-claude-code	/tmp/ecc/skills/configure-ecc
error-handling	everything-claude-code	/tmp/ecc/skills/error-handling
continuous-learning	everything-claude-code	/tmp/ecc/skills/continuous-learning
swift-concurrency-6-2	everything-claude-code	/tmp/ecc/skills/swift-concurrency-6-2
iterative-retrieval	everything-claude-code	/tmp/ecc/skills/iterative-retrieval
kotlin-exposed-patterns	everything-claude-code	/tmp/ecc/skills/kotlin-exposed-patterns
social-graph-ranker	everything-claude-code	/tmp/ecc/skills/social-graph-ranker
gateguard	everything-claude-code	/tmp/ecc/skills/gateguard
crosspost	everything-claude-code	/tmp/ecc/skills/crosspost
content-engine	everything-claude-code	/tmp/ecc/skills/content-engine
coding-standards	everything-claude-code	/tmp/ecc/skills/coding-standards
perl-security	everything-claude-code	/tmp/ecc/skills/perl-security
quality-nonconformance	everything-claude-code	/tmp/ecc/skills/quality-nonconformance
hermes-imports	everything-claude-code	/tmp/ecc/skills/hermes-imports
terminal-ops	everything-claude-code	/tmp/ecc/skills/terminal-ops
orch-refine-code	everything-claude-code	/tmp/ecc/skills/orch-refine-code
laravel-verification	everything-claude-code	/tmp/ecc/skills/laravel-verification
nextjs-turbopack	everything-claude-code	/tmp/ecc/skills/nextjs-turbopack
fastapi-patterns	everything-claude-code	/tmp/ecc/skills/fastapi-patterns
tdd-workflow	everything-claude-code	/tmp/ecc/skills/tdd-workflow
prediction-market-risk-review	everything-claude-code	/tmp/ecc/skills/prediction-market-risk-review
dynamic-workflow-mode	everything-claude-code	/tmp/ecc/skills/dynamic-workflow-mode
autonomous-agent-harness	everything-claude-code	/tmp/ecc/skills/autonomous-agent-harness
frontend-design-direction	everything-claude-code	/tmp/ecc/skills/frontend-design-direction
foundation-models-on-device	everything-claude-code	/tmp/ecc/skills/foundation-models-on-device
dart-flutter-patterns	everything-claude-code	/tmp/ecc/skills/dart-flutter-patterns
hookify-rules	everything-claude-code	/tmp/ecc/skills/hookify-rules
laravel-security	everything-claude-code	/tmp/ecc/skills/laravel-security
exa-search	everything-claude-code	/tmp/ecc/skills/exa-search
ui-demo	everything-claude-code	/tmp/ecc/skills/ui-demo
seo	everything-claude-code	/tmp/ecc/skills/seo
golang-patterns	everything-claude-code	/tmp/ecc/skills/golang-patterns
postgres-patterns	everything-claude-code	/tmp/ecc/skills/postgres-patterns
finance-billing-ops	everything-claude-code	/tmp/ecc/skills/finance-billing-ops
browser-qa	everything-claude-code	/tmp/ecc/skills/browser-qa
documentation-lookup	everything-claude-code	/tmp/ecc/skills/documentation-lookup
network-config-validation	everything-claude-code	/tmp/ecc/skills/network-config-validation
skill-scout	everything-claude-code	/tmp/ecc/skills/skill-scout
intent-driven-development	everything-claude-code	/tmp/ecc/skills/intent-driven-development
content-hash-cache-pattern	everything-claude-code	/tmp/ecc/skills/content-hash-cache-pattern
cost-tracking	everything-claude-code	/tmp/ecc/skills/cost-tracking
enterprise-agent-ops	everything-claude-code	/tmp/ecc/skills/enterprise-agent-ops
token-budget-advisor	everything-claude-code	/tmp/ecc/skills/token-budget-advisor
investor-materials	everything-claude-code	/tmp/ecc/skills/investor-materials
logistics-exception-management	everything-claude-code	/tmp/ecc/skills/logistics-exception-management
benchmark-optimization-loop	everything-claude-code	/tmp/ecc/skills/benchmark-optimization-loop
recsys-pipeline-architect	everything-claude-code	/tmp/ecc/skills/recsys-pipeline-architect
liquid-glass-design	everything-claude-code	/tmp/ecc/skills/liquid-glass-design
android-clean-architecture	everything-claude-code	/tmp/ecc/skills/android-clean-architecture
pytorch-patterns	everything-claude-code	/tmp/ecc/skills/pytorch-patterns
benchmark	everything-claude-code	/tmp/ecc/skills/benchmark
